block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_50185,0,6,0,0,SOUTHRIDGE VIA SE 14TH,57166,180.0.1,718186,
b_50196,0,60,0,1,UNIVERSITY/INGERSOLL,57172,180.0.2,718449,
b_50110,0,3,0,1,DART CENTRAL STATION,57132,180.0.1,715900,
b_49933,0,1,0,0,E 42ND & HUBBELL,57012,180.0.3,711401,
b_50032,0,15,0,1,DART CENTRAL STATION,57066,180.0.1,714139,
b_49934,0,1,0,0,E 42ND & HUBBELL,57012,180.0.3,711400,
b_49934,0,1,0,1,DART CENTRAL STATION,57013,180.0.3,711403,
b_49933,0,1,0,1,DART CENTRAL STATION,57013,180.0.3,711402,
b_50219,0,74,0,1,NW URBANDALE,57202,180.0.1,718773,
b_50046,0,98,0,0,DMACC ANKENY,57245,180.2.1,718932,
b_50008,0,3,0,1,DART CENTRAL STATION,57132,180.0.1,715901,
b_50179,0,98,0,0,DMACC ANKENY,57245,180.0.1,718933,
b_50046,0,98,0,0,DMACC ANKENY,57245,180.0.1,718930,
b_50179,0,98,0,0,DMACC ANKENY,57245,180.142.1,718931,
b_49935,0,10,0,0,PLEASANT HILL,57017,180.0.1,711418,
b_50046,0,98,0,0,DMACC ANKENY,57245,180.142.1,718937,
b_50071,0,17,0,0,ALTOONA VIA E 26TH ST,57102,180.0.2,715016,
b_50007,0,3,0,1,DART CENTRAL STATION,57132,180.0.1,715902,
b_50179,0,98,0,0,BUS GARAGE,57243,180.0.1,718934,
b_50072,0,17,0,0,ALTOONA,57103,180.0.2,715017,
b_50046,0,98,0,0,BUS GARAGE,57243,180.0.1,718935,
b_50071,0,17,0,0,AMAZON 5/BONDURANT VIA OUTLETS OF DSM,57100,180.0.2,715014,
b_50191,0,6,0,1,DART CENTRAL STATION VIA SE 5TH,57169,180.0.2,718297,
b_50072,0,17,0,0,AMAZON 5/BONDURANT VIA OUTLETS OF DSM,57101,180.0.2,715015,
b_50190,0,6,0,1,DART CENTRAL STATION VIA SE 14TH,57168,180.0.2,718296,
b_50180,0,6,0,0,SOUTHRIDGE VIA SE 14TH,57166,180.0.1,718177,
b_50071,0,17,0,0,ALTOONA VIA E 26TH ST,57102,180.0.2,715012,
b_49935,0,10,0,0,PLEASANT HILL,57017,180.0.1,711419,
b_50190,0,6,0,1,DART CENTRAL STATION VIA SE 14TH,57168,180.0.2,718295,
b_50072,0,17,0,0,ALTOONA,57103,180.0.2,715013,
b_50190,0,6,0,1,DART CENTRAL STATION VIA SE 14TH,57168,180.0.2,718294,
b_50071,0,17,0,0,ALTOONA VIA E 26TH ST,57102,180.0.2,715010,
b_50190,0,6,0,1,DART CENTRAL STATION VIA SE 14TH,57168,180.0.2,718293,
b_50072,0,17,0,0,ALTOONA,57103,180.0.2,715011,
b_50007,0,3,0,0,VALLEY WEST MALL,57129,180.0.1,715836,
b_50190,0,6,0,1,DART CENTRAL STATION VIA SE 14TH,57168,180.0.2,718292,
b_50014,0,14,0,0,MERLE HAY MALL,57050,180.0.3,714010,
b_50191,0,6,0,1,DART CENTRAL STATION VIA SE 5TH,57169,180.0.2,718291,
b_50187,0,7,0,1,DART CENTRAL STATION,57194,180.0.1,718607,
b_50191,0,6,0,1,DART CENTRAL STATION VIA SE 5TH,57169,180.0.2,718290,
b_50231,0,8,0,1,DART CENTRAL STATION,57219,180.0.1,718831,
a_49294,0,1,0,0,E 42ND & HUBBELL,56142,178.0.1,687760,
a_49294,0,1,0,0,E 42ND & HUBBELL,56142,178.0.1,687761,
a_49294,0,1,0,0,E 42ND & HUBBELL,56142,178.0.1,687762,
a_49294,0,1,0,0,E 42ND & HUBBELL,56142,178.0.1,687763,
